Location_Id,LOCATION,LAT,LON,Cross Street
381,7100 VAN NUYS BL,34.1994,-118.4488,
382,5600 VIRGINIA AV,34.0918,-118.3109,
383,1500 COUNCIL ST,34.0656,-118.2616,
384,600 E GAGE AV,33.9857,-118.2628,
385,48TH ST,33.9997,-118.2827,FIGUEROA ST
386,VALERIO,34.2048,-118.536,RESEDA
387,1600 W 66TH ST,33.9792,-118.3046,
388,8000 BALBOA BL,34.2157,-118.5011,
389,1700 S SOTO ST,34.0233,-118.2222,
390,1300 PENNSYLVANIA AV,34.0528,-118.2215,
391,1900 SELBY AV,34.0487,-118.4319,
392,2600 W 30TH ST,34.0276,-118.3236,
393,1100 W 6TH ST,34.0541,-118.2621,
394,2300 JUPITER DR,34.1106,-118.3646,
395,1500 W 46TH ST,34.0019,-118.3056,
396,1900 KEMPER ST,34.1018,-118.2325,
397,500 BRITTANIA ST,34.0493,-118.2133,
398,5600 W SUNSET BL,34.1,-118.3113,
399,600 W GAGE AV,33.9824,-118.2844,
400,4200 S VERMONT AV,34.0073,-118.298,
401,3900 MARLTON AV,34.0133,-118.337,
402,3800 WELLAND AV,34.0173,-118.3261,
403,11100 SANTA MONICA BL,34.0474,-118.445,
404,1800 S BONNIE BRAE ST,34.0402,-118.2836,
405,FOUNTAIN,34.0944,-118.3288,CAHUENGA
406,2200 FAIR PARK AV,34.1361,-118.215,
407,10TH AV,33.9709,-118.3287,76TH ST
408,14300 VANOWEN ST,34.1939,-118.4444,
409,600 S UNION AV,34.0565,-118.2724,
410,800 S WESTGATE AV,34.0521,-118.4699,
411,700 AMADOR ST,34.0763,-118.2336,
412,5900 SPELTHORNE LN,34.0412,-118.3711,
413,6000 COMEY AV,34.0339,-118.3747,
414,1900 MARENGO ST,34.0575,-118.2093,
415,700 S LOS ANGELES ST,34.0426,-118.2513,
416,1400 W 36TH ST,34.0228,-118.3002,
417,30TH ST,34.0274,-118.2959,BUDLONG AV
418,GLORIA AV,34.2013,-118.4793,SHERMAN WY
419,600 S WESTLAKE AV,34.0598,-118.2734,
420,MARTIN LUTHER KING JR BL,34.0109,-118.3002,NORMANDIE AV
421,500 ALPINE ST,34.0628,-118.2395,
422,700 VALENCIA ST,34.0527,-118.2696,
423,PENNSYLVANIA,34.048,-118.2181,STATE
424,6TH ST,34.0509,-118.2585,FIGUEROA ST
425,DARBY AV,34.2164,-118.5334,LORNE ST
426,2900 COVINA ST,34.0788,-118.1653,
427,1300 W C ST,33.7719,-118.2775,
428,SLAUSON AV,33.9892,-118.3002,NORMANDIE AV
429,1700 W VERNON AV,34.0037,-118.3089,
430,500 W 38TH ST,33.7096,-118.2885,
431,3800 W 27TH ST,34.0312,-118.3262,
432,STOCKER ST,33.9974,-118.3579,LA BREA AV
433,LA LIVE WY,34.0451,-118.2701,11TH ST
434,2100 BAXTER ST,34.0915,-118.255,
435,2900 HILLCREST DR,34.0276,-118.3429,
436,12400 WILSHIRE BL,34.0473,-118.4768,
437,4100 W PICO BL,34.0495,-118.3215,
438,200 N AVENUE 25,34.078,-118.2181,
439,10900 SANTA MONICA BL,34.0503,-118.4352,
440,DENKER AV,33.96,-118.3047,MANCHESTER AV
441,3000 S CLOVERDALE AV,34.0273,-118.3594,
442,2800 N BROADWAY,34.0762,-118.2119,
443,5800 LA MIRADA AV,34.0937,-118.3175,
444,14200 RIVERSIDE DR,34.1576,-118.4422,
445,5100 W OLYMPIC BL,34.0571,-118.34,
446,14800 BURBANK BL,34.1766,-118.4589,
447,FLORENCE AV,33.9747,-118.2696,SAN PEDRO ST
448,1300 W 2ND ST,34.0609,-118.2586,
449,1100 W 81ST PL,33.9654,-118.2937,
450,MELROSE AV,34.0835,-118.3397,CITRUS
451,900 W 17TH ST,33.7288,-118.2973,
452,FIGUEROA,34.1076,-118.1968,AVENUE 54
453,5TH,34.0481,-118.2507,BROADWAY
454,WASHINGTON BL,34.0427,-118.3423,WESTVIEW ST
